,x,y
0,"[0.0, 10000]","[0, 30007.4075275852]"
1,"[0.0, 284.53584741020364, 342.79134388547607, 508.86762179161883, 585.1752288333272, 661.9402707464719, 668.4161755717953, 671.4467372081008, 683.5498430407617, 685.1127560742407, 703.2881862838652, 1038.2035048834678, 1272.6844345905545, 1625.4981171322397, 10000]","[0, 1175.529588693921, 1413.9071789506688, 2088.348407428727, 2395.788312773873, 2703.7041101389273, 2729.563045856517, 2741.5345992026832, 2789.2313636666745, 2795.087885435818, 2862.7265887113367, 4099.371000033694, 4964.431079419173, 6247.133861772253, 36647.13129785852]"
2,"[0.0, 10000]","[0, 30000.0]"
3,"[0.0, 10000]","[0, 30000.0]"
4,"[0.0, 10000]","[0, 30000.0]"
5,"[0.0, 10000]","[0, 30000.0]"
6,"[0.0, 10000]","[0, 30000.0]"
7,"[0.0, 10000]","[0, 30000.0]"
8,"[0.0, 10000]","[0, 30000.0]"
9,"[0.0, 10000]","[0, 30000.0]"
